# beta x_V
1.000000000000000000e+01 2.138201861688820424e-08
1.000200020002000123e+01 2.130961228846914931e-08
1.000400040004000424e+01 2.123745116901488801e-08
1.000600060006000547e+01 2.116553442804856916e-08
1.000800080008000847e+01 2.109386123790593761e-08
1.001000100010000970e+01 2.102243077372634451e-08
1.001200120012001271e+01 2.095124221344271190e-08
1.001400140014001394e+01 2.088029473777260909e-08
1.001600160016001517e+01 2.080958753020838278e-08
1.001800180018001818e+01 2.073911977700790252e-08
1.002000200020001941e+01 2.066889066718543198e-08
1.002200220022002242e+01 2.059889939250182187e-08
1.002400240024002365e+01 2.052914514745571205e-08
1.002600260026002665e+01 2.045962712927379398e-08
1.002800280028002788e+01 2.039034453790199295e-08
1.003000300030003089e+01 2.032129657599582978e-08
1.003200320032003212e+01 2.025248244891172221e-08
1.003400340034003335e+01 2.018390136469737302e-08
1.003600360036003636e+01 2.011555253408287291e-08
1.003800380038003759e+01 2.004743517047179341e-08
1.004000400040004060e+01 1.997954848993167429e-08
1.004200420042004183e+01 1.991189171118553671e-08
1.004400440044004483e+01 1.984446405560235076e-08
1.004600460046004606e+01 1.977726474718859494e-08
1.004800480048004729e+01 1.971029301257888254e-08
1.005000500050005030e+01 1.964354808102724643e-08
1.005200520052005153e+01 1.957702918439844050e-08
1.005400540054005454e+01 1.951073555715868180e-08
1.005600560056005577e+01 1.944466643636731256e-08
1.005800580058005878e+01 1.937882106166755233e-08
1.006000600060006001e+01 1.931319867527818978e-08
1.006200620062006124e+01 1.924779852198449364e-08
1.006400640064006424e+01 1.918261984912965300e-08
1.006600660066006547e+01 1.911766190660629711e-08
1.006800680068006848e+01 1.905292394684747574e-08
1.007000700070006971e+01 1.898840522481849001e-08
1.007200720072007272e+01 1.892410499800786285e-08
1.007400740074007395e+01 1.886002252641925908e-08
1.007600760076007518e+01 1.879615707256255852e-08
1.007800780078007818e+01 1.873250790144553785e-08
1.008000800080007942e+01 1.866907428056557561e-08
1.008200820082008242e+01 1.860585547990083451e-08
1.008400840084008365e+01 1.854285077190230059e-08
1.008600860086008666e+01 1.848005943148496883e-08
1.008800880088008789e+01 1.841748073601991870e-08
1.009000900090008912e+01 1.835511396532563877e-08
1.009200920092009213e+01 1.829295840165988057e-08
1.009400940094009336e+01 1.823101332971155555e-08
1.009600960096009636e+01 1.816927803659215887e-08
1.009800980098009759e+01 1.810775181182794099e-08
1.010001000100010060e+01 1.804643394735132148e-08
1.010201020102010183e+01 1.798532373749319958e-08
1.010401040104010484e+01 1.792442047897433832e-08
1.010601060106010607e+01 1.786372347089776100e-08
1.010801080108010730e+01 1.780323201474025777e-08
1.011001100110011031e+01 1.774294541434453399e-08
1.011201120112011154e+01 1.768286297591135203e-08
1.011401140114011454e+01 1.762298400799114696e-08
1.011601160116011577e+01 1.756330782147654223e-08
1.011801180118011878e+01 1.750383372959393890e-08
1.012001200120012001e+01 1.744456104789608422e-08
1.012201220122012124e+01 1.738548909425376015e-08
1.012401240124012425e+01 1.732661718884815345e-08
1.012601260126012548e+01 1.726794465416314632e-08
1.012801280128012849e+01 1.720947081497716706e-08
1.013001300130012972e+01 1.715119499835583475e-08
1.013201320132013272e+01 1.709311653364377677e-08
1.013401340134013395e+01 1.703523475245735630e-08
1.013601360136013518e+01 1.697754898867659230e-08
1.013801380138013819e+01 1.692005857843764884e-08
1.014001400140013942e+01 1.686276286012536720e-08
1.014201420142014243e+01 1.680566117436525222e-08
1.014401440144014366e+01 1.674875286401633205e-08
1.014601460146014666e+01 1.669203727416314442e-08
1.014801480148014790e+01 1.663551375210866591e-08
1.015001500150015090e+01 1.657918164736630814e-08
1.015201520152015213e+01 1.652304031165291323e-08
1.015401540154015336e+01 1.646708909888088561e-08
1.015601560156015637e+01 1.641132736515093604e-08
1.015801580158015760e+01 1.635575446874480239e-08
1.016001600160016061e+01 1.630036977011752380e-08
1.016201620162016184e+01 1.624517263189046255e-08
1.016401640164016484e+01 1.619016241884358484e-08
1.016601660166016607e+01 1.613533849790853562e-08
1.016801680168016730e+01 1.608070023816101531e-08
1.017001700170017031e+01 1.602624701081364615e-08
1.017201720172017154e+01 1.597197818920890813e-08
1.017401740174017455e+01 1.591789314881154215e-08
1.017601760176017578e+01 1.586399126720180681e-08
1.017801780178017879e+01 1.581027192406787171e-08
1.018001800180018002e+01 1.575673450119909407e-08
1.018201820182018125e+01 1.570337838247855430e-08
1.018401840184018425e+01 1.565020295387611097e-08
1.018601860186018548e+01 1.559720760344147565e-08
1.018801880188018849e+01 1.554439172129683777e-08
1.019001900190018972e+01 1.549175469963021411e-08
1.019201920192019273e+01 1.543929593268807694e-08
1.019401940194019396e+01 1.538701481676877627e-08
1.019601960196019519e+01 1.533491075021523092e-08
1.019801980198019820e+01 1.528298313340816546e-08
1.020002000200019943e+01 1.523123136875933728e-08
1.020202020202020243e+01 1.517965486070434340e-08
1.020402040204020366e+01 1.512825301569611554e-08
1.020602060206020667e+01 1.507702524219773357e-08
1.020802080208020790e+01 1.502597095067599005e-08
1.021002100210020913e+01 1.497508955359426323e-08
1.021202120212021214e+01 1.492438046540590292e-08
1.021402140214021337e+01 1.487384310254762794e-08
1.021602160216021637e+01 1.482347688343248680e-08
1.021802180218021761e+01 1.477328122844352152e-08
1.022002200220022061e+01 1.472325555992674484e-08
1.022202220222022184e+01 1.467339930218484042e-08
1.022402240224022485e+01 1.462371188147018311e-08
1.022602260226022608e+01 1.457419272597858707e-08
1.022802280228022731e+01 1.452484126584241378e-08
1.023002300230023032e+01 1.447565693312415633e-08
1.023202320232023155e+01 1.442663916181001068e-08
1.023402340234023455e+01 1.437778738780306950e-08
1.023602360236023578e+01 1.432910104891717963e-08
1.023802380238023879e+01 1.428057958487011282e-08
1.024002400240024002e+01 1.423222243727746447e-08
1.024202420242024125e+01 1.418402904964593359e-08
1.024402440244024426e+01 1.413599886736703626e-08
1.024602460246024549e+01 1.408813133771085210e-08
1.024802480248024850e+01 1.404042590981935891e-08
1.025002500250024973e+01 1.399288203470044547e-08
1.025202520252025273e+01 1.394549916522123626e-08
1.025402540254025396e+01 1.389827675610214065e-08
1.025602560256025519e+01 1.385121426391028183e-08
1.025802580258025820e+01 1.380431114705335914e-08
1.026002600260025943e+01 1.375756686577355002e-08
1.026202620262026244e+01 1.371098088214099689e-08
1.026402640264026367e+01 1.366455266004795061e-08
1.026602660266026668e+01 1.361828166520226729e-08
1.026802680268026791e+01 1.357216736512158317e-08
1.027002700270027091e+01 1.352620922912687100e-08
1.027202720272027214e+01 1.348040672833664473e-08
1.027402740274027337e+01 1.343475933566058031e-08
1.027602760276027638e+01 1.338926652579359145e-08
1.027802780278027761e+01 1.334392777520989208e-08
1.028002800280028062e+01 1.329874256215668170e-08
1.028202820282028185e+01 1.325371036664847584e-08
1.028402840284028485e+01 1.320883067046078475e-08
1.028602860286028609e+01 1.316410295712447371e-08
1.028802880288028732e+01 1.311952671191954593e-08
1.029002900290029032e+01 1.307510142186932415e-08
1.029202920292029155e+01 1.303082657573467361e-08
1.029402940294029456e+01 1.298670166400784122e-08
1.029602960296029579e+01 1.294272617890689196e-08
1.029802980298029880e+01 1.289889961436957115e-08
1.030003000300030003e+01 1.285522146604777562e-08
1.030203020302030126e+01 1.281169123130147888e-08
1.030403040304030426e+01 1.276830840919306492e-08
1.030603060306030549e+01 1.272507250048167860e-08
1.030803080308030850e+01 1.268198300761720207e-08
1.031003100310030973e+01 1.263903943473484341e-08
1.031203120312031274e+01 1.259624128764911473e-08
1.031403140314031397e+01 1.255358807384845217e-08
1.031603160316031520e+01 1.251107930248928504e-08
1.031803180318031821e+01 1.246871448439049204e-08
1.032003200320031944e+01 1.242649313202788399e-08
1.032203220322032244e+01 1.238441475952833577e-08
1.032403240324032367e+01 1.234247888266448249e-08
1.032603260326032668e+01 1.230068501884885967e-08
1.032803280328032791e+01 1.225903268712863420e-08
1.033003300330032914e+01 1.221752140817981066e-08
1.033203320332033215e+01 1.217615070430183156e-08
1.033403340334033338e+01 1.213492009941218409e-08
1.033603360336033639e+01 1.209382911904066447e-08
1.033803380338033762e+01 1.205287729032420308e-08
