# occupying energies
-8491.40021667735 -8490.88251239666 
-8491.40021667735 -8490.87581763174 
-8491.40021667735 -8490.9982204293 
-8491.40021667735 -8490.93068394102 
-8491.87313408797 -8491.40021667734 
-8491.40021667735 -8490.98287492298 
-8491.40021667735 -8490.9731619232 
-8491.77960868554 -8491.40021667734 
-8491.75953794365 -8491.40021667734 
-8491.70228704997 -8491.40021667734 
-8491.40021667735 -8490.87533225527 
-8491.40021667735 -8490.88410348745 
-8491.40021667735 -8490.87444057733 
-8491.40021667735 -8490.92857970742 
-8491.40021667735 -8490.91172916716 
-8491.40021667735 -8490.93573388207 
-8491.40021667735 -8490.96920145068 
-8491.40021667735 -8491.01295922907 
-8491.78054015994 -8491.40021667735 
-8491.40021667735 -8491.065913736 
-8491.40021667735 -8490.92657755335 
-8491.40021667735 -8490.91139245175 
-8491.40021667735 -8490.90959863519 
-8491.40021667735 -8490.89071792282 
-8491.40021667735 -8490.93348550416 
-8491.40021667735 -8490.91236066314 
-8491.40021667735 -8490.87579142863 
-8491.40021667735 -8490.88251089568 
-8491.40021667735 -8490.9132725446 
-8491.40021667735 -8490.96001671874 
-8491.92092795428 -8491.40021667734 
-8491.40021667735 -8490.97835513296 
-8491.40021667735 -8490.99319827387 
-8491.40021667735 -8491.07262194595 
-8491.83432932987 -8491.40021667734 
-8491.40021667735 -8490.88365027655 
-8491.40021667735 -8490.92829130796 
-8491.40021667735 -8490.88726780636 
-8491.40021667735 -8490.97965561151 
-8491.40021667735 -8490.96419966642 
-8491.40021667735 -8490.9557824156 
-8491.40021667735 -8490.98674351031 
-8491.40021667735 -8490.93917706399 
-8491.40021667735 -8491.10346966441 
-8491.40021667735 -8490.97348452595 
-8491.40021667735 -8490.92191488374 
-8491.40021667735 -8490.95426768602 
-8491.92149803755 -8491.40021667735 
-8491.40021667735 -8490.93332055246 
-8491.9258977084 -8491.40021667734 
-8491.40021667735 -8490.88389971193 
-8491.40021667735 -8490.87906823344 
-8491.40021667735 -8490.95970734407 
-8491.40021667735 -8490.96022013963 
-8491.40021667735 -8490.95925150012 
-8491.40021667735 -8490.88374599664 
-8491.40021667735 -8490.91285625629 
-8491.40021667735 -8490.93044831506 
-8491.40021667735 -8490.93192434186 
-8491.40021667735 -8490.9339436566 
-8491.40021667735 -8490.91632977287 
-8491.9167831193 -8491.40021667734 
-8491.40021667735 -8490.95088841252 
-8491.40021667735 -8490.88608009876 
-8491.40021667735 -8490.93687068604 
-8491.40021667735 -8490.88388281387 
-8491.40021667735 -8490.88398583937 
-8491.40021667735 -8490.96796242459 
-8491.40021667735 -8490.93039180264 
-8491.40021667735 -8490.94442242569 
-8491.40021667735 -8490.92820280569 
-8491.40021667735 -8490.93170715285 
-8491.40021667735 -8490.91682619141 
-8491.40021667735 -8490.93170721757 
-8491.40021667735 -8490.93193542798 
-8491.40021667735 -8490.92831089855 
-8491.40021667735 -8490.91288216405 
-8491.40021667735 -8490.92213069805 
-8491.40021667735 -8490.88621756106 
-8491.40021667735 -8490.96421911669 
-8491.40021667735 -8490.97502854394 
-8491.8718757844 -8491.40021667734 
-8491.40021667735 -8490.93889295575 
-8491.40021667735 -8490.91545630691 
-8491.40021667735 -8490.87600652425 
-8491.40021667735 -8490.88034649644 
-8491.40021667735 -8490.8710036292 
-8491.40021667735 -8490.88406109663 
-8491.40021667735 -8490.90295280089 
-8491.40021667735 -8490.9317820325 
-8491.92138628843 -8491.40021667734 
-8491.40021667735 -8490.9644287306 
-8491.40021667735 -8490.96078240338 
-8491.40021667735 -8490.91136320264 
-8491.40021667735 -8490.92362872666 
-8491.40021667735 -8490.87404126971 
-8491.40021667735 -8490.9113137202 
-8491.40021667735 -8490.92224505791 
-8491.40021667735 -8490.95584017198 
-8491.92501751326 -8491.40021667735 
-8491.40021667735 -8490.93204971769 
-8491.40021667735 -8490.87918955415 
-8491.40021667735 -8490.9608484839 
-8491.40021667735 -8490.8838114824 
-8491.40021667735 -8490.93571515308 
-8491.40021667735 -8490.8863057201 
-8491.40021667735 -8491.00416936158 
-8491.40021667735 -8490.96974501602 
-8491.40021667735 -8490.92561681079 
-8491.40021667735 -8490.93227859387 
